parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range
Cc1nc2ccc(-c3ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N4CC[C@H](F)C4)cc3)cn2n1,CHEMBL209710,,Cc1nc2ccc(-c3ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N4CC[C@H](F)C4)cc3)cn2n1.O=C(O)C(F)(F)F,2,122.5,22.0,223.0,7.154636228064817,6.651695136951839,7.657577319177793,0.7112661121266949,7.155,B,CHEMBL866326;CHEMBL866327,CHEMBL1148642,438.51,1.77,6.0,1.0,96.83,5.0,0.0,1.005882182225954
Cc1ncc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)s1,CHEMBL403970,,Cc1ncc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)s1,2,375.0,130.0,620.0,6.546832479097454,6.207608310501746,6.886056647693163,0.47973541991278856,6.55,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,377.51,0.7,6.0,1.0,68.78,3.0,0.0,0.6784483371914174
Cc1ncsc1[C@H]1C[C@@H]1NC(=O)CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL474767,,Cc1ncsc1[C@H]1C[C@@H]1NC(=O)CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,3,15.0,10.0,16.0,7.823908740944319,7.795880017344075,8.0,0.11064862416822682,7.82,B,CHEMBL1011679;CHEMBL1011699;CHEMBL1011700,CHEMBL1152812,407.52,1.64,6.0,2.0,98.12,7.0,0.0,0.20411998265592501
Cc1nsc(C2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,CHEMBL404159,,Cc1nsc(C2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,2,660.0,350.0,970.0,6.23458011069174,6.013228265733755,6.455931955649724,0.3130387811958886,6.234999999999999,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,377.51,1.15,6.0,1.0,78.43,3.0,0.0,0.44270368991596953
Cc1nsc(N2CCCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,CHEMBL257742,,Cc1nsc(N2CCCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,2,640.0,310.0,970.0,6.260933285949741,6.013228265733755,6.508638306165727,0.35030779905734916,6.26,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,392.53,0.49,7.0,1.0,81.67,3.0,0.0,0.4954100404319721
Cc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,CHEMBL256691,,Cc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,2,50.0,20.0,80.0,7.3979400086720375,7.096910013008056,7.698970004336019,0.42572070254911626,7.4,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,378.5,0.1,7.0,1.0,81.67,3.0,0.0,0.6020599913279625
Cc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n1,CHEMBL403449,,Cc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n1,2,31.0,18.0,44.0,7.550637409205253,7.356547323513812,7.7447274948966935,0.27448483150699166,7.555,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,396.54,0.01,8.0,1.0,81.67,3.0,0.0,0.3881801713828814
Cc1nsc(N2CCN(C(=O)[C@H]3C[C@@H](C(=O)N4CCSC4)N[C@H]3C)CC2)n1,CHEMBL269952,,Cc1nsc(N2CCN(C(=O)[C@H]3C[C@@H](C(=O)N4CCSC4)N[C@H]3C)CC2)n1,2,27.5,14.0,41.0,7.620544053801013,7.3872161432802645,7.853871964321762,0.3299754955386187,7.619999999999999,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,410.57,0.39,8.0,1.0,81.67,3.0,0.0,0.4666558210414973
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,CHEMBL1650443;CHEMBL2105754,TRELAGLIPTIN,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O;Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O,5,4.0,1.3,5.4,8.397940008672037,8.267606240177031,8.886056647693163,0.285202028988484,8.4,B,CHEMBL1664314;CHEMBL4012542;CHEMBL4140929;CHEMBL5366934;CHEMBL5584747,CHEMBL1649419;CHEMBL4011616;CHEMBL4138141;CHEMBL5365448;CHEMBL5584222,357.39,0.53,7.0,1.0,97.05,3.0,0.0,0.6184504075161321
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL376359,ALOGLIPTIN,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,16,4.23,1.0,24.0,8.374302574979948,7.619788758288394,9.0,0.37510617008249514,8.375,B,CHEMBL1663348;CHEMBL1664314;CHEMBL1821018;CHEMBL2149434;CHEMBL2389931;CHEMBL2429190;CHEMBL3816312;CHEMBL4012542;CHEMBL4368093;CHEMBL4413686;CHEMBL4841116;CHEMBL5247172;CHEMBL5247248;CHEMBL5329688;CHEMBL6083851;CHEMBL6083860,CHEMBL1649374;CHEMBL1649419;CHEMBL1817578;CHEMBL2146411;CHEMBL2385033;CHEMBL2424575;CHEMBL3813592;CHEMBL4011616;CHEMBL4364319;CHEMBL4411317;CHEMBL4840327;CHEMBL5244277;CHEMBL5329166;CHEMBL6083197,339.4,0.39,7.0,1.0,97.05,3.0,0.0,1.3802112417116064
Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2C1CC1,CHEMBL248810,,Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2C1CC1,2,225.0,110.0,340.0,6.71356419889976,6.468521082957745,6.958607314841775,0.3465432979313604,6.715,B,CHEMBL924146,CHEMBL1140494,460.42,3.65,4.0,1.0,64.15,5.0,0.0,0.49008623188403
Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2Cc1ccc(F)cc1,CHEMBL250285,,Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2Cc1ccc(F)cc1,2,392.9,5.8,780.0,7.172238701873291,6.107905397309519,8.236572006437063,1.5051945941994602,7.175000000000001,B,CHEMBL924146,CHEMBL1140494,528.47,4.62,4.0,1.0,64.15,6.0,1.0,2.128666609127544
Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2Cc1ccccc1,CHEMBL250284,,Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2Cc1ccccc1,2,289.2,8.4,570.0,7.159922929132813,6.2441251443275085,8.075720713938118,1.295133647662899,7.16,B,CHEMBL924146,CHEMBL1140494,510.48,4.48,4.0,1.0,64.15,6.0,1.0,1.8315955696106094
Cn1cnc(S(=O)(=O)n2cc3c(n2)CN([C@H]2CO[C@H](c4cc(F)ccc4F)[C@@H](N)C2)C3)c1,CHEMBL3736423,,Cn1cnc(S(=O)(=O)n2cc3c(n2)CN([C@H]2CO[C@H](c4cc(F)ccc4F)[C@@H](N)C2)C3)c1,2,1.2999999999999998,0.7,1.9,8.938074179516457,8.721246399047171,9.154901959985743,0.3066407878389203,8.935,B,CHEMBL3737789;CHEMBL5247172,CHEMBL3734760;CHEMBL5244277,464.5,1.3,9.0,1.0,108.27,4.0,0.0,0.43365556093857194
Cn1cnc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2C(F)(F)F,CHEMBL400954,,Cn1cnc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2C(F)(F)F,2,215.0,50.0,380.0,6.860623199523586,6.42021640338319,7.301029995663981,0.6228292640630304,6.859999999999999,B,CHEMBL924146,CHEMBL1140494,420.36,2.79,4.0,1.0,64.15,4.0,0.0,0.8808135922807914
N#CC1CCCN1C(=O)C(N)C1CCCCC1,CHEMBL507254,,N#CC1CCCN1C(=O)C(N)C1CCCCC1,2,29.0,12.0,46.0,7.6290304611354,7.337242168318426,7.920818753952375,0.41265096104345744,7.63,B,CHEMBL3706171;CHEMBL999374,CHEMBL1141676;CHEMBL3639212,235.33,1.41,3.0,1.0,70.12,2.0,0.0,0.5835765856339492
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,CHEMBL142703,VILDAGLIPTIN,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,18,21.5,0.58,24000.0,7.668621084159213,4.619788758288394,9.236572006437063,0.9633370692040586,7.67,B,CHEMBL1030770;CHEMBL1057246;CHEMBL1061470;CHEMBL1120109;CHEMBL1821018;CHEMBL2091655;CHEMBL2389931;CHEMBL3096171;CHEMBL3118378;CHEMBL3370155;CHEMBL3620569;CHEMBL4315807;CHEMBL4432067;CHEMBL5366933;CHEMBL664532;CHEMBL827834;CHEMBL829475;CHEMBL938686,CHEMBL1138669;CHEMBL1140240;CHEMBL1146708;CHEMBL1152964;CHEMBL1153009;CHEMBL1153357;CHEMBL1154997;CHEMBL1158614;CHEMBL1817578;CHEMBL2086250;CHEMBL2385033;CHEMBL3091389;CHEMBL3112488;CHEMBL3351537;CHEMBL3616424;CHEMBL4312014;CHEMBL4431324;CHEMBL5365448,303.41,1.17,4.0,2.0,76.36,3.0,0.0,4.6167832481486695
N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,CHEMBL307636,,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,3,3.2,2.0,12.0,8.494850021680094,7.920818753952375,8.698970004336019,0.4034633878726739,8.49,B,CHEMBL664030;CHEMBL664032;CHEMBL829475,CHEMBL1135431;CHEMBL1140240,235.33,1.41,3.0,1.0,70.12,2.0,0.0,0.7781512503836439
N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,CHEMBL381626,,N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,2,11.45,2.9,20.0,8.118286003218532,7.698970004336019,8.537602002101044,0.5930023725396718,8.12,B,CHEMBL876981;CHEMBL892415,CHEMBL1145239;CHEMBL1147187,193.25,0.25,3.0,1.0,56.13,1.0,0.0,0.8386319977650256
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,CHEMBL385517,SAXAGLIPTIN ANHYDROUS,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,6,3.2,0.6,50.0,8.49569991411904,7.301029995663981,9.221848749616356,0.7497221842539177,8.495000000000001,B,CHEMBL1061470;CHEMBL1119677;CHEMBL1816914;CHEMBL2389931;CHEMBL3118414;CHEMBL5217466,CHEMBL1152964;CHEMBL1158599;CHEMBL1811791;CHEMBL2385033;CHEMBL3112588;CHEMBL5214975,315.42,1.16,4.0,2.0,90.35,2.0,0.0,1.920818753952375
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1,CHEMBL3093903,,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1,2,4.0,3.0,5.0,8.41195437047216,8.301029995663981,8.522878745280337,0.15687075525148192,8.41,B,CHEMBL3096171;CHEMBL5247172,CHEMBL3091389;CHEMBL5244277,279.29,1.16,3.0,1.0,70.12,3.0,0.0,0.22184874961635614
N#Cc1ccc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)nc1,CHEMBL241253,,N#Cc1ccc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)nc1,2,1.3,1.0,1.6,8.897940008672037,8.795880017344075,9.0,0.14433462391168503,8.9,B,CHEMBL2149800;CHEMBL886678,CHEMBL1139160;CHEMBL2146473,372.5,0.34,7.0,1.0,75.5,3.0,0.0,0.20411998265592501
N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,CHEMBL77538,,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,4,14.5,1.4,53.0,7.906239639581768,7.275724130399211,8.853871964321762,0.6816846682330279,7.905,B,CHEMBL664031;CHEMBL664923;CHEMBL829475;CHEMBL876981,CHEMBL1135431;CHEMBL1140240;CHEMBL1145239,298.35,0.47,6.0,2.0,104.84,6.0,0.0,1.578147833922551
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Br)c[nH]c2c1=O,CHEMBL2023067,,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Br)c[nH]c2c1=O,2,22.7,1.4,44.0,8.105209643917787,7.356547323513812,8.853871964321762,1.0587684071530128,8.105,B,CHEMBL2026010;CHEMBL2353262,CHEMBL2021879;CHEMBL2346603,427.31,2.33,6.0,2.0,103.73,3.0,0.0,1.4973246408079497
N=C(N)NCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL3686749,,N=C(N)NCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,2,3550.9,1.8,7100.0,6.9467345730888095,5.1487416512809245,8.744727494896694,2.542745975071538,6.945,B,CHEMBL3706075,CHEMBL3638744,271.13,,,,,,,3.595985843615769
NCC(=O)N1CCC[C@H]1B(O)O,CHEMBL67089,,NCC(=O)N1CCC[C@H]1B(O)O,4,3506.5,1.0,16000.0,6.520479303839453,4.795880017344075,9.0,2.0582672293354953,6.525,B,CHEMBL2346132;CHEMBL3706075;CHEMBL665783,CHEMBL1129318;CHEMBL2331146;CHEMBL3638744,171.99,,,,,,,4.204119982655925
NCC(=S)N1CCC[C@H]1B(O)O,CHEMBL3686738,,NCC(=S)N1CCC[C@H]1B(O)O,2,951.5,3.0,1900.0,7.122062572163754,5.721246399047171,8.522878745280337,1.9810532304130493,7.119999999999999,B,CHEMBL3706075,CHEMBL3638744,188.06,,,,,,,2.8016323462331663
NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63726,,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,2,697.5,95.0,1300.0,6.454166521202158,5.886056647693163,7.022276394711152,0.8034286880344838,6.455,B,CHEMBL5737203;CHEMBL665783,CHEMBL1129318;CHEMBL5728672,243.12,,,,,,,1.1362197470179893
N[C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,CHEMBL513425;CHEMBL539611,,Cl.N[C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F;N[C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,3,70.0,70.0,707.95,7.154901959985743,6.149997413907538,7.154901959985743,0.5801819101881301,7.16,B,CHEMBL1034787;CHEMBL886389;CHEMBL886790,CHEMBL1139175;CHEMBL1139956;CHEMBL1141018,419.45,3.43,3.0,1.0,66.64,5.0,0.0,1.0049045460782047
N[C@@H](CC(=O)N1CCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,CHEMBL535180,,Cl.N[C@@H](CC(=O)N1CCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,2,275.595,50.0,501.19,6.800513799260864,6.299997602857746,7.301029995663981,0.7078367931406848,6.8,B,CHEMBL886389;CHEMBL886790,CHEMBL1139175;CHEMBL1139956,405.42,3.04,3.0,1.0,66.64,5.0,0.0,1.001032392806235
N[C@@H](CC(=O)N1CC[C@@H]2[C@@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1cc(F)c(F)cc1F,CHEMBL3425747,,N[C@@H](CC(=O)N1CC[C@@H]2[C@@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1cc(F)c(F)cc1F,2,49.0,28.0,70.0,7.353871964321762,7.154901959985743,7.552841968657781,0.28138607863743126,7.355,B,CHEMBL3429510,CHEMBL3425472,461.41,3.01,5.0,1.0,77.04,4.0,0.0,0.3979400086720375
N[C@@H](CC(=O)N1CC[C@@H]2[C@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1cc(F)c(F)cc1F,CHEMBL3425748,,N[C@@H](CC(=O)N1CC[C@@H]2[C@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1cc(F)c(F)cc1F,2,341.0,145.0,537.0,6.554328856032735,6.270025714300445,6.838631997765026,0.40206535886308525,6.555,B,CHEMBL3429510,CHEMBL3425472,461.41,3.01,5.0,1.0,77.04,4.0,0.0,0.5686062834645806
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,CHEMBL1201174;CHEMBL1422;CHEMBL393336;CHEMBL539077,SITAGLIPTIN,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F.O.O=P(O)(O)O;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O,30,18.0,0.87,120.0,7.7447274948966935,6.920818753952375,9.060480747381382,0.448199505958945,7.75,B,CHEMBL1011679;CHEMBL1034787;CHEMBL1119687;CHEMBL1246393;CHEMBL1686243;CHEMBL1821018;CHEMBL2066843;CHEMBL2424445;CHEMBL3118377;CHEMBL3118378;CHEMBL3405279;CHEMBL3429510;CHEMBL3620569;CHEMBL3862754;CHEMBL3873292;CHEMBL4053403;CHEMBL4123027;CHEMBL4232370;CHEMBL4326781;CHEMBL4683606;CHEMBL5112289;CHEMBL5247212;CHEMBL5584747;CHEMBL5734602;CHEMBL829504;CHEMBL886790;CHEMBL907105;CHEMBL938686;CHEMBL967900,CHEMBL1137590;CHEMBL1139175;CHEMBL1141018;CHEMBL1141929;CHEMBL1152812;CHEMBL1154997;CHEMBL1156717;CHEMBL1158599;CHEMBL1240513;CHEMBL1681678;CHEMBL1817578;CHEMBL2062502;CHEMBL2417472;CHEMBL3112488;CHEMBL3399950;CHEMBL3425472;CHEMBL3616424;CHEMBL3861975;CHEMBL3872227;CHEMBL4052600;CHEMBL4118184;CHEMBL4229387;CHEMBL4325850;CHEMBL4680154;CHEMBL5108062;CHEMBL5244277;CHEMBL5584222;CHEMBL5727415,407.32,2.02,5.0,1.0,77.04,4.0,0.0,2.139661993429007
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c1ccc(F)cc1)Cc1cc(F)c(F)cc1F,CHEMBL536536,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c1ccc(F)cc1)Cc1cc(F)c(F)cc1F,4,45.25,0.32,430.0,8.173393743112328,6.366531544420413,9.494850021680094,1.5806348946486164,8.175,B,CHEMBL944056,CHEMBL1140747,531.43,3.43,6.0,2.0,97.27,6.0,1.0,3.128318477259681
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1CC(F)(F)F)Cc1cc(F)c(F)cc1F,CHEMBL536999,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1CC(F)(F)F)Cc1cc(F)c(F)cc1F,2,64.35,5.7,123.0,7.577110016444055,6.910094888560602,8.244125144327509,0.9433018401608041,7.575,B,CHEMBL944056,CHEMBL1140747,489.34,3.51,5.0,1.0,77.04,5.0,0.0,1.3340302557669066
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc(F)c(F)cc1F,CHEMBL536312,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc(F)c(F)cc1F,2,296.65,6.3,587.0,7.216010674649402,6.231361898752386,8.200659450546418,1.3925036530476262,7.215,B,CHEMBL944056,CHEMBL1140747,633.44,5.84,5.0,1.0,77.04,6.0,2.0,1.9692975517940319
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1)Cc1cc(F)c(F)cc1F,CHEMBL539350,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1)Cc1cc(F)c(F)cc1F,2,70.33,0.66,140.0,8.017164014389946,6.853871964321762,9.18045606445813,1.645143394207228,8.015,B,CHEMBL944056,CHEMBL1140747,497.44,3.8,5.0,1.0,77.04,6.0,0.0,2.326584100136369
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1C(F)(F)F)Cc1cc(F)c(F)cc1F,CHEMBL536090,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1C(F)(F)F)Cc1cc(F)c(F)cc1F,2,219.155,0.31,438.0,7.933582097830814,6.358525889495901,9.508638306165727,2.2274658513271772,7.9350000000000005,B,CHEMBL944056,CHEMBL1140747,565.44,4.82,5.0,1.0,77.04,6.0,1.0,3.1501124166698258
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,CHEMBL540888,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,2,65.73,0.46,131.0,8.10998543633133,6.882728704344236,9.337242168318426,1.735603114889832,8.11,B,CHEMBL944056,CHEMBL1140747,515.43,3.94,5.0,1.0,77.04,6.0,1.0,2.45451346397419
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccn1)Cc1cc(F)c(F)cc1F,CHEMBL557176,,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccn1)Cc1cc(F)c(F)cc1F,2,66.2,0.4,132.0,8.138683038733094,6.8794260687941495,9.397940008672037,1.7808582854005035,8.14,B,CHEMBL944056,CHEMBL1140747,498.43,3.2,6.0,1.0,89.93,6.0,0.0,2.518513939877888
N[C@@H](CC(=O)N1CCn2nc(C(F)(F)F)nc2[C@@H]1C(F)C1CC1)Cc1cc(F)c(F)cc1F,CHEMBL249945,,N[C@@H](CC(=O)N1CCn2nc(C(F)(F)F)nc2[C@@H]1C(F)C1CC1)Cc1cc(F)c(F)cc1F,2,14.5,11.0,18.0,7.851667404869234,7.7447274948966935,7.958607314841775,0.15123587104212463,7.855,B,CHEMBL923806,CHEMBL1140460,479.4,3.31,5.0,1.0,77.04,6.0,0.0,0.2138798199450811
N[C@@H](CC(=O)O)C(=S)N1CCC[C@H]1B(O)O,CHEMBL3686743,,N[C@@H](CC(=O)O)C(=S)N1CCC[C@H]1B(O)O,2,14008.5,17.0,28000.0,6.161196523639753,4.552841968657781,7.769551078621726,2.2745568247600496,6.16,B,CHEMBL3706075,CHEMBL3638744,246.1,,,,,,,3.2167091099639453
N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1B(O)O,CHEMBL494497,,N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1B(O)O,3,1100.0,6.0,3000.0,5.958607314841775,5.522878745280337,8.221848749616356,1.448939857431295,5.96,B,CHEMBL3706075;CHEMBL5737203,CHEMBL3638744;CHEMBL5728672,244.06,,,,,,,2.6989700043360187
N[C@@H](CCC(=O)O)C(=S)N1CCC[C@H]1B(O)O,CHEMBL3686744,,N[C@@H](CCC(=O)O)C(=S)N1CCC[C@H]1B(O)O,2,447.3,4.6,890.0,7.193926080836756,6.050609993355087,8.337242168318426,1.616893116995921,7.195,B,CHEMBL3706075,CHEMBL3638744,260.12,,,,,,,2.286632174963339
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1B(O)O,CHEMBL3686747,,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1B(O)O,2,1501.0,2.0,3000.0,7.110924374808178,5.522878745280337,8.698970004336019,2.245835666945592,7.109999999999999,B,CHEMBL3706075,CHEMBL3638744,301.15,,,,,,,3.1760912590556813
N[C@@H](Cc1c[nH]c2ccccc12)C(=S)N1CCC[C@H]1B(O)O,CHEMBL3686748,,N[C@@H](Cc1c[nH]c2ccccc12)C(=S)N1CCC[C@H]1B(O)O,2,350.8,1.6,700.0,7.475390988664909,6.154901959985743,8.795880017344075,1.8674534933229514,7.48,B,CHEMBL3706075,CHEMBL3638744,317.22,,,,,,,2.640978057358332
N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63652,,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,2,1035.0,70.0,2000.0,6.426935982160881,5.698970004336019,7.154901959985743,1.0294993587861119,6.43,B,CHEMBL5737203;CHEMBL665783,CHEMBL1129318;CHEMBL5728672,262.12,,,,,,,1.4559319556497243
N[C@H](C(=O)N1CCCC1)C1CCCCC1,CHEMBL278393,,N[C@H](C(=O)N1CCCC1)C1CCCCC1,3,1034.0,320.0,17000.0,5.985479461242076,4.769551078621726,6.494850021680094,0.8864344911329698,5.99,B,CHEMBL664532;CHEMBL664534;CHEMBL830917,CHEMBL1144288;CHEMBL1144883;CHEMBL1146708,210.32,1.52,2.0,1.0,46.33,2.0,0.0,1.7252989430583678
N[C@H](C(=O)N1CCC[C@H]1B(O)O)C1(C(F)(F)F)CC1,CHEMBL5925037,,N[C@H](C(=O)N1CCC[C@H]1B(O)O)C1(C(F)(F)F)CC1,2,11011.0,22.0,22000.0,6.157577319177793,4.657577319177793,7.657577319177793,2.1213203435596424,6.16,B,CHEMBL5737203;CHEMBL5738962,CHEMBL5728672;CHEMBL5729553,280.05,,,,,,,3.0
N[C@H](C(=O)N1CCC[C@H]1B(O)O)C1CCCCC1,CHEMBL3686737,,N[C@H](C(=O)N1CCC[C@H]1B(O)O)C1CCCCC1,5,380.0,1.0,9000.0,6.42021640338319,5.045757490560675,9.0,1.6781547327677269,6.42,B,CHEMBL3706075;CHEMBL5737203,CHEMBL3638744;CHEMBL5728672,254.14,,,,,,,3.954242509439325
N[C@H]1CCCCNC(=O)CNC(=O)CNC(=O)c2cc(ccc2COc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,CHEMBL305759,,N[C@H]1CCCCNC(=O)CNC(=O)CNC(=O)c2cc(ccc2COc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,2,17500.0,10000.0,25000.0,4.801029995663981,4.6020599913279625,5.0,0.28138607863743126,4.8,B,CHEMBL664926;CHEMBL664927,CHEMBL1131574,564.64,0.67,7.0,5.0,171.96,3.0,1.0,0.3979400086720375
