parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range
COCc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,CHEMBL269965,,COCc1nsc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,2,28.5,17.0,40.0,7.583745543646882,7.3979400086720375,7.769551078621726,0.2627687075254131,7.585,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,408.53,-0.07,8.0,1.0,90.9,5.0,0.0,0.3716110699496884
COc1cc([C@H]2CC[C@@H]([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CCC(F)(F)C3)CC2)nc(OC)n1,CHEMBL235004,,COc1cc([C@H]2CC[C@@H]([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CCC(F)(F)C3)CC2)nc(OC)n1,2,1400.0,100.0,2700.0,6.284318117920506,5.568636235841012,7.0,1.0121270239815223,6.285,B,CHEMBL898850;CHEMBL898855,CHEMBL1137497,469.53,1.67,7.0,1.0,110.88,7.0,0.0,1.4313637641589878
COc1cc([C@H]2CC[C@H]([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CCC(F)(F)C3)CC2)nc(OC)n1,CHEMBL235223,,COc1cc([C@H]2CC[C@H]([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CCC(F)(F)C3)CC2)nc(OC)n1,2,1080.0,260.0,1900.0,6.1531365255381765,5.721246399047171,6.585026652029182,0.6107848743386113,6.15,B,CHEMBL898850;CHEMBL898855,CHEMBL1137497,469.53,1.67,7.0,1.0,110.88,7.0,0.0,0.8637802529820107
COc1cc2c3c(ccc2cc1NS(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,CHEMBL3942843,,COc1cc2c3c(ccc2cc1NS(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2,18.065,6.13,30.0,7.867709135380961,7.522878745280337,8.212539525481585,0.4876638143987072,7.865,B,CHEMBL3862754;CHEMBL5734602,CHEMBL3861975;CHEMBL5727415,452.45,3.64,5.0,2.0,90.65,4.0,0.0,0.6896607802012475
COc1ccc(-c2cc(N3C[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)cn1,CHEMBL237786,,COc1ccc(-c2cc(N3C[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)cn1,2,21.7,6.4,37.0,7.812809150974559,7.431798275933005,8.193820026016112,0.5388307468954059,7.81,B,CHEMBL899730,CHEMBL1137469,401.39,2.9,6.0,1.0,77.16,4.0,0.0,0.7620217500831075
COc1ccc(C(=O)N(C)C2CCC([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)CC2)cc1,CHEMBL395696,,COc1ccc(C(=O)N(C)C2CCC([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)CC2)cc1.Cl,2,62.0,27.0,97.0,7.2909322507873835,7.013228265733755,7.568636235841012,0.392732741987897,7.29,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,419.54,2.86,4.0,1.0,75.87,6.0,0.0,0.5554079701072574
COc1ccc(C(=O)NC2CCC([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)CC2)cc1,CHEMBL245380,,COc1ccc(C(=O)NC2CCC([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)CC2)cc1.Cl,2,142.0,74.0,210.0,6.904274492767552,6.6777807052660805,7.130768280269024,0.32031058607783097,6.904999999999999,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,405.51,2.52,4.0,2.0,84.66,6.0,0.0,0.4529875750029433
COc1ccc(CC2c3nnc(C(F)(F)F)n3CCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1,CHEMBL539352,,COc1ccc(CC2c3nnc(C(F)(F)F)n3CCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl,2,160.215,0.43,320.0,7.930690783050253,6.494850021680094,9.366531544420413,2.0305854781377906,7.935,B,CHEMBL944056,CHEMBL1140747,527.47,3.81,6.0,1.0,86.27,7.0,1.0,2.871681522740319
COc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1,CHEMBL3093920,,COc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1,2,23.0,17.0,29.0,7.653576540361385,7.537602002101044,7.769551078621726,0.1640127648977313,7.654999999999999,B,CHEMBL3096171;CHEMBL5247172,CHEMBL3091389;CHEMBL5244277,273.34,1.08,4.0,1.0,79.35,4.0,0.0,0.23194907652068153
COc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1,CHEMBL3093905,,COc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1,2,10.0,5.0,15.0,8.06246936830415,7.823908740944319,8.301029995663981,0.33737567466050744,8.06,B,CHEMBL3096171;CHEMBL5247172,CHEMBL3091389;CHEMBL5244277,291.33,1.03,4.0,1.0,79.35,4.0,0.0,0.4771212547196626
