activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50,pref_name,canonical_smiles,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,has_multiple_fragments_raw,parent_smiles,has_multiple_fragments_parent
158513,CHEMBL63698,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,44.0,nM,7.36,,0,1,CHEMBL1129318,1,7.356547323513812,,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,228.1,,,,,,,False,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,False
158514,CHEMBL291428,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,63.0,nM,7.2,,0,1,CHEMBL1129318,1,7.200659450546418,,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,248.09,,,,,,,False,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,False
159693,CHEMBL66189,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,30000.0,nM,4.52,,0,1,CHEMBL1129318,1,4.522878745280337,,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,200.05,,,,,,,False,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,False
165758,CHEMBL1790483,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,25.0,nM,7.6,,0,1,CHEMBL1129318,1,7.6020599913279625,,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,228.1,,,,,,,False,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,False
168408,CHEMBL67279,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,26.0,nM,7.58,,0,1,CHEMBL1129318,1,7.585026652029182,TALABOSTAT,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,214.07,,,,,,,False,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,False
168411,CHEMBL63860,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,15.0,nM,7.82,,0,1,CHEMBL1129318,1,7.823908740944319,,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,186.02,,,,,,,False,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,False
172023,CHEMBL67089,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,16000.0,nM,4.8,,0,1,CHEMBL1129318,1,4.795880017344075,,NCC(=O)N1CCC[C@H]1B(O)O,171.99,,,,,,,False,NCC(=O)N1CCC[C@H]1B(O)O,False
173235,CHEMBL65406,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,4000.0,nM,5.4,,0,1,CHEMBL1129318,1,5.3979400086720375,,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,214.07,,,,,,,False,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,False
173238,CHEMBL304007,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,32.0,nM,7.5,,0,1,CHEMBL1129318,1,7.494850021680094,,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,278.12,,,,,,,False,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,False
176780,CHEMBL63652,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,70.0,nM,7.16,,0,1,CHEMBL1129318,1,7.154901959985743,,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,262.12,,,,,,,False,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,False
178094,CHEMBL63406,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,60.0,nM,7.22,,0,1,CHEMBL1129318,1,7.221848749616356,,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,228.1,,,,,,,False,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,False
180579,CHEMBL63895,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,20.0,nM,7.7,,0,1,CHEMBL1129318,1,7.698970004336019,,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,212.06,,,,,,,False,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,False
270838,CHEMBL1182947,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,32000.0,nM,4.5,,0,1,CHEMBL1132608,1,4.494850021680094,,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,400.42,4.04,5.0,1.0,67.87,6.0,0.0,False,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,False
272163,CHEMBL265344,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,400.0,nM,6.4,,0,1,CHEMBL1132608,1,6.3979400086720375,,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,514.52,3.95,7.0,3.0,126.07,8.0,1.0,True,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
273306,CHEMBL9237,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,47000.0,nM,4.33,,0,1,CHEMBL1132608,1,4.327902142064283,,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1.Cl,430.44,3.98,6.0,2.0,88.1,6.0,0.0,True,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1,False
