parent_smiles,molecule_chembl_id,pIC50_median,activity_class,PCA1,PCA2,tSNE1,tSNE2,Set
C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5220594,9.795880017344077,High,-0.20947814139457605,1.6522037161571446,-0.17883727,30.829336,Test
C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,CHEMBL230095,5.655804284128565,Low,1.923390863232392,-0.8053842253735803,48.773643,8.91333,Train
C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650426,8.096910013008056,High,-3.1681249709259327,-0.45226343673878655,-48.33923,-18.941624,Train
CC#CC#Cc1ccc(C#CC(O)CO)s1,CHEMBL3343899,5.562249437179612,Low,-0.04198417966498444,0.24059786309258663,-13.81071,2.4395006,Train
CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,CHEMBL5269668,10.045757490560677,High,-2.7748222974383987,-0.5337835848134285,-50.45774,-11.60975,Train
CC#CCN1C(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)=NC2N=C3N(C)C(=O)CN3C(=O)C21,CHEMBL5270313,8.769551078621726,High,-1.5556364360813946,0.6760288885425391,-5.7495356,11.740905,Train
CC#CCN1C(N2CCC[C@H](N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C,CHEMBL4649180,8.684029654543082,High,-2.991911522434396,-0.8586610209209328,-58.309437,-3.966892,Train
CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL257589,5.514420523015321,Low,-3.004759168792921,-0.707688679100245,-57.12936,0.37190676,Train
CC#CCn1c(C(=O)NCc2cccc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL401972,6.97061622231479,Moderate,-3.1763483836307587,-0.6164953479441634,-57.014694,0.43530503,Test
CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL257795,7.00436480540245,High,-3.1991060551404917,-0.6648184956440727,-56.921703,0.36984542,Train
CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)nnc1N1CCCC(N)C1,CHEMBL255517,7.619788758288394,High,-3.0167585771558683,-0.5916016863578792,-56.90326,0.32453588,Test
CC#CCn1c(N2CC(=O)N[C@H](CO)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL3616896,4.742321425130816,Low,-3.3875030272319973,-0.992768619164293,-51.18907,5.180186,Train
CC#CCn1c(N2CCCC(N)C2)nc(Br)c1C(=O)NCc1cccc2ccccc12,CHEMBL402111,6.252588192113577,Moderate,-2.8645850405915154,-0.5796893689044423,-57.014194,0.42769152,Train
CC#CCn1c(N2CCCC(N)C2)nc(C#N)c1C(=O)NCc1cccc2ccccc12,CHEMBL402573,6.235077015350111,Moderate,-3.1471283549274385,-0.25764504075947714,-56.991547,0.4494061,Test
CC#CCn1c(N2CCCC(N)C2)nc2c(C)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL255709,8.154901959985743,High,-4.016934314928581,-1.2987283036025417,-57.77789,-2.0400188,Train
CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3cccc4ccccc34)c(=O)c21,CHEMBL255864,7.2839966563652,High,-4.004059250825989,-1.2411247019927645,-57.493687,-1.4788913,Train
CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL255862,7.721246399047171,High,-4.027655884927206,-1.296052551496914,-57.43904,-1.8837621,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(C)c(=O)n2C,CHEMBL237280,7.055517327849831,High,-4.153043768758563,-0.9318014968694135,-59.985645,15.433428,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc(=O)n(C)c3ccccc13)c(=O)n2C,CHEMBL3986470,8.221848749616356,High,-4.599969472596143,-1.679997128496068,-58.237797,8.262897,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cccc3ccccc13)c(=O)n2C,CHEMBL404326,7.823908740944319,High,-4.683606711501293,-1.4864930369344798,-58.244564,8.285753,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccnc3ccccc13)c(=O)n2C,CHEMBL3985360,8.045757490560675,High,-4.74578179892625,-1.4621070087280033,-57.53771,8.17366,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(-c3ccccc3)c3ccccc3n1)c(=O)n2C1CC1,CHEMBL6033013,8.221848749616356,High,-4.404772317345871,-1.3618354641104309,-56.35724,6.6739063,Train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)cc3ccccc13)c(=O)n2C,CHEMBL402819,8.698970004336019,High,-4.655102718077884,-1.5044679277481343,-57.743122,7.5347633,Train
CC#CCn1c(N2CCCC(N)C2)nc2ccn(Cc3cccc4ccccc34)c(=O)c21,CHEMBL255491,7.050609993355087,High,-3.9796027647061,-1.160311543843424,-58.243057,-1.3770107,Test
CC#CCn1c(N2CCCC(N)C2)nc2ccn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL255492,7.67778070526608,High,-4.0057955863037,-1.2122426683097836,-58.022106,-2.0000134,Test
CC#CCn1c(N2CCCC(N)C2)nc2cnn(CC(=O)c3ccccc3)c(=O)c21,CHEMBL256928,7.585026652029182,High,-3.4743554224482827,-0.6899903710215619,-58.783543,0.8586251,Train
CC#CCn1c(N2CCCC(N)C2)nc2cnn(CC3=Nc4ccccc4Oc4ccccc43)c(=O)c21,CHEMBL256729,7.853871964321762,High,-3.8105770493968696,-1.016004087994788,-59.3075,-0.82069355,Train
CC#CCn1c(N2CCCC(N)C2)nc2cnn(Cc3ccc(C#N)c4ccccc34)c(=O)c21,CHEMBL404220,8.397940008672037,High,-4.144524379778034,-0.7231069444522367,-58.16734,-0.90621144,Train
CC#CCn1c(N2CCCC(N)C2)nc2cnn(Cc3cccc4ccccc34)c(=O)c21,CHEMBL401709,7.886056647693163,High,-3.9621666946285523,-1.127855816531969,-58.17304,-1.1566353,Train
CC#CCn1c(N2CCCC(N)C2)nc2cnn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL256521,8.301029995663981,High,-3.9857633287297687,-1.1827836660361188,-57.962204,-1.9184377,Train
CC#CCn1c(N2CCCC(N)C2)nc2cnn(Cc3nc4ccccc4o3)c(=O)c21,CHEMBL256969,8.397940008672037,High,-3.914039800215483,-0.9902346256664841,-59.195374,-0.93865854,Train
CC#CCn1c(N2CCCC(NC(=O)OC(C)(C)C)C2)nc2c1c(=O)n(Cc1nc(NCc3ccccc3)c3ccccc3n1)c(=O)n2C,CHEMBL3680628,8.221848749616356,High,-3.9923330136677535,-0.3236955089181681,-53.520008,8.609235,Test
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1c(C#N)cnc3ccccc13)c(=O)n2C,CHEMBL1951614,8.698970004336019,High,-3.2463503525465907,-0.2689825953215043,-47.603077,-0.56534016,Train
