parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range,activity_class
C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5219761,,C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,1,6.39,6.39,6.39,8.1944991418416,8.1944991418416,8.1944991418416,0.0,8.19,B,CHEMBL5217459,CHEMBL5214975,483.61,3.64,7.0,2.0,123.27,9.0,0.0,0.0,High
C=C(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL437570,,C=C(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,1,5.7,5.7,5.7,8.244125144327509,8.244125144327509,8.244125144327509,0.0,8.24,B,CHEMBL892394,CHEMBL1147184,247.34,1.45,3.0,1.0,56.13,3.0,0.0,0.0,High
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CHEMBL269277,BETULINIC ACID,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1,55820.0,55820.0,55820.0,4.253210167847388,4.253210167847388,4.253210167847388,0.0,4.25,B,CHEMBL3224678,CHEMBL3217554,456.71,7.09,2.0,2.0,57.53,2.0,1.0,0.0,Low
C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,CHEMBL3800113,,C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,1,34000.0,34000.0,34000.0,4.468521082957745,4.468521082957745,4.468521082957745,0.0,4.47,B,CHEMBL3802984,CHEMBL3797179,468.55,2.7,4.0,1.0,69.88,6.0,0.0,0.0,Low
C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,CHEMBL3797842,,C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,1,680.0,680.0,680.0,6.167491087293763,6.167491087293763,6.167491087293763,0.0,6.17,B,CHEMBL3802984,CHEMBL3797179,493.56,2.6,5.0,1.0,93.67,6.0,0.0,0.0,Moderate
C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,LICOAGROCHACONE A,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,1,30390.0,30390.0,30390.0,4.517269299920057,4.517269299920057,4.517269299920057,0.0,4.52,B,CHEMBL5363528,CHEMBL5360591,338.4,4.47,4.0,2.0,66.76,6.0,0.0,0.0,Low
C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,CHEMBL396789,,C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,1,1995.0,1995.0,1995.0,5.700057099977233,5.700057099977233,5.700057099977233,0.0,5.7,B,CHEMBL887585,CHEMBL1144633,447.38,2.82,5.0,1.0,77.04,6.0,0.0,0.0,Low
C=CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,CHEMBL261462,,C=CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,1,41.0,41.0,41.0,7.3872161432802645,7.3872161432802645,7.3872161432802645,0.0,7.39,B,CHEMBL939125,CHEMBL1143890,278.36,-0.02,4.0,1.0,76.44,5.0,0.0,0.0,High
C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,CHEMBL522909,,C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,1,21.0,21.0,21.0,7.6777807052660805,7.6777807052660805,7.6777807052660805,0.0,7.68,B,CHEMBL999374,CHEMBL1141676,350.44,1.88,6.0,0.0,85.16,6.0,0.0,0.0,High
C=CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL245069,,C=CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,1,3.5,3.5,3.5,8.455931955649724,8.455931955649724,8.455931955649724,0.0,8.46,B,CHEMBL892415,CHEMBL1147187,233.31,1.06,3.0,1.0,56.13,3.0,0.0,0.0,High
C=CCn1c(=O)c2c(ncn2Cc2ccc(C#N)cc2)n(Cc2ccccc2)c1=O,CHEMBL6102689,,C=CCn1c(=O)c2c(ncn2Cc2ccc(C#N)cc2)n(Cc2ccccc2)c1=O,1,23.23,23.23,23.23,7.633950790199765,7.633950790199765,7.633950790199765,0.0,7.63,B,CHEMBL6082526,CHEMBL6078720,397.44,2.51,7.0,0.0,85.61,6.0,0.0,0.0,High
C=CCn1c(Oc2ccc([N+](=O)[O-])cc2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL6143955,,C=CCn1c(Oc2ccc([N+](=O)[O-])cc2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1,16.16,16.16,16.16,7.791558643561433,7.791558643561433,7.791558643561433,0.0,7.79,B,CHEMBL6082526,CHEMBL6078720,499.49,3.08,11.0,0.0,139.97,7.0,1.0,0.0,High
