Randomization,Train_R2_mean,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_RMSE_mean
1,0.7691251225383166,-0.1378560469044944,0.028023063172402565,1.0286086782776436,1.2889673167955826
2,0.7720023177360894,-0.1333717317373592,0.02386328982310373,1.0240436667199198,1.2860924102149265
3,0.7709925748114043,-0.16011232331363492,0.03278008829146862,1.043937296748863,1.3016122607959975
4,0.7760554259794363,-0.11551075661466523,0.023348182388383633,1.0213858173068473,1.277142839115848
5,0.7741486168538286,-0.12526589695689183,0.03106070591908593,1.022961334262797,1.2809171145688103
6,0.7787990830084198,-0.0927149487069698,0.03384389639883464,1.0082921930946411,1.2635327680738755
7,0.7714697992312639,-0.13776556135841309,0.021616075574920103,1.0278848636555264,1.2901800050580046
8,0.7687921836305383,-0.12309112032037742,0.0269003849373659,1.0192084077777492,1.281045289834196
9,0.7711604465989513,-0.11806499873584157,0.024010512156431404,1.0247055148288595,1.279105215748063
10,0.7692793932391456,-0.14235684309766605,0.01796624908219095,1.035508085594102,1.2931233690043356
11,0.7747478151832438,-0.1407203130356789,0.016483070480211897,1.0294234071999342,1.291445196731343
12,0.7698381502231403,-0.1364952536361344,0.023370871684466735,1.0369879018938417,1.2891498389415497
13,0.7727378990038914,-0.14825592147278935,0.009131513688680986,1.038161181643912,1.2960526466829967
14,0.7707256483817342,-0.11308085886403312,0.038953753477955835,1.0141966620879912,1.2740576108218178
15,0.7688717268352331,-0.13436476579001538,0.03030259122986997,1.0223768158801907,1.2873170078426508
16,0.7710680832585954,-0.12708524664681525,0.029179787642624064,1.0328794599740079,1.2838861043359908
17,0.7764501297107353,-0.10651432550462925,0.012225605403967107,1.0093003749602372,1.271577167673201
18,0.7735892264143983,-0.13004441333345534,0.023782136764892856,1.0214890744550547,1.2842996981679586
19,0.7655155637823775,-0.167863430834064,0.03124202694491107,1.0470448930864198,1.3070667787286716
20,0.7738339696801766,-0.12946164515228437,0.029546237895696208,1.0216378041294856,1.284815577930798
